Time,Humidity,Temperature,Temp-from-Hum,Temp-from-press,Pressure,Orientation-pitch,Orientation-roll,Orientation-yaw,Compass,Compass-x,Compass-y,Compass-z,Gyro-pitch,Gyro-roll,Gyro-yaw,Accel-pitch,Accel-roll,Accel-yaw
2022-04-29 17:52:11.520077,36.7315,37.7091,37.7091,36.5104,918.0417,0.0105,0.0288,-1.1492,294.1538,8.0739,21.0150,19.5256,0.5754,1.6708,294.1779,0.5627,1.6710,294.1779
2022-04-29 17:52:21.721686,36.9575,37.6000,37.6000,36.5125,918.0754,0.0099,0.0290,-1.1488,294.1826,11.9341,27.6425,24.5075,0.5652,1.6748,294.2379,0.5499,1.6769,294.2379
2022-04-29 17:52:31.966101,36.7741,37.7091,37.7091,36.5083,918.0591,0.0098,0.0292,-1.1478,294.2597,12.4177,27.9250,24.1584,0.5615,1.6784,294.3243,0.5522,1.6769,294.3243
2022-04-29 17:52:42.212802,36.7577,37.6545,37.6545,36.5208,918.1194,0.0098,0.0292,-1.1463,294.3148,11.8405,28.2670,24.5085,0.5605,1.6779,294.3121,0.5564,1.6768,294.3121
2022-04-29 17:52:52.459716,36.9379,37.9091,37.9091,36.5646,918.0789,0.0099,0.0292,-1.1465,294.3000,11.7322,28.0818,24.9640,0.5672,1.6754,294.2781,0.5639,1.6746,294.2781
2022-04-29 17:53:02.699596,36.9444,37.7455,37.7455,36.5896,918.1104,0.0100,0.0291,-1.1471,294.2627,11.5619,27.9010,24.0787,0.5743,1.6716,294.2301,0.5702,1.6722,294.2301
2022-04-29 17:53:12.949721,37.1738,37.7455,37.7455,36.5917,918.1436,0.0101,0.0291,-1.1479,294.2137,11.5590,28.1936,24.7219,0.5787,1.6710,294.1762,0.5758,1.6671,294.1762
2022-04-29 17:53:23.199277,37.2458,37.7091,37.7091,36.5938,918.1499,0.0102,0.0290,-1.1488,294.1709,11.9462,28.2115,23.9285,0.5834,1.6607,294.1697,0.5820,1.6563,294.1697
2022-04-29 17:53:33.451697,37.0034,37.7636,37.7636,36.6167,918.1655,0.0103,0.0289,-1.1490,294.1591,11.8146,28.1878,24.1731,0.5886,1.6546,294.1398,0.5830,1.6540,294.1398
2022-04-29 17:53:43.691642,36.6823,37.7455,37.7455,36.6125,918.1550,0.0103,0.0289,-1.1495,294.0998,11.0735,28.8880,25.3961,0.5910,1.6585,293.9751,0.5907,1.6578,293.9751
2022-04-29 17:53:53.903812,37.1148,37.8000,37.8000,36.5896,918.1389,0.0105,0.0289,-1.1524,293.9516,11.6089,28.5402,25.2111,0.6026,1.6540,293.9127,0.6018,1.6556,293.9127
2022-04-29 17:54:04.151102,37.4228,37.8364,37.8364,36.5812,918.1421,0.0107,0.0289,-1.1534,293.9042,11.7605,28.5234,24.7154,0.6130,1.6551,293.8694,0.6146,1.6526,293.8693
2022-04-29 17:54:14.363980,37.2229,37.7455,37.7455,36.5896,918.1753,0.0108,0.0288,-1.1542,293.8573,11.6090,28.1334,24.9482,0.6220,1.6483,293.8537,0.6228,1.6432,293.8537
2022-04-29 17:54:24.621297,37.1213,37.6545,37.6545,36.5250,918.1621,-0.0028,0.0616,-1.1333,294.8592,5.8648,23.1257,-7.4579,358.3014,2.8918,298.1310,359.5147,3.0837,298.5366
2022-04-29 17:54:34.864902,37.8913,37.6364,37.6364,36.5083,918.1831,-0.0424,0.0556,-1.0727,298.6718,16.1186,20.8291,14.7760,357.7061,3.1831,299.2977,357.7700,3.1654,299.2984
2022-04-29 17:54:45.071379,37.6816,37.7818,37.7818,36.6021,918.2075,-0.0356,0.0550,-1.0594,299.6319,20.7825,20.4622,21.3361,358.0836,3.1455,300.6062,358.1428,3.1390,300.6064
2022-04-29 17:54:55.308252,37.4064,37.8545,37.8545,36.6854,918.2126,-0.0294,0.0546,-1.0366,300.9307,21.2073,20.3503,21.0543,358.4233,3.1260,301.8806,358.4794,3.1201,301.8807
2022-04-29 17:55:05.544847,37.4850,37.9273,37.9273,36.7812,918.2244,-0.0239,0.0544,-1.0144,302.1872,21.4910,20.4066,21.0415,358.7285,3.1138,303.0854,358.7748,3.1095,303.0855
2022-04-29 17:55:15.791732,37.2557,37.9455,37.9455,36.8604,918.2415,-0.0190,0.0542,-0.9933,303.3716,21.3038,20.4363,21.5840,358.9981,3.1039,304.1940,359.0386,3.1003,304.1942
2022-04-29 17:55:26.048040,37.1476,38.0000,38.0000,36.8729,918.2722,-0.0147,0.0540,-0.9740,304.4599,21.2947,20.5958,21.5947,359.2356,3.0913,305.2128,359.2716,3.0881,305.2129
2022-04-29 17:55:36.294723,37.3343,38.0364,38.0364,36.8667,918.2556,-0.0108,0.0538,-0.9562,305.4556,21.1602,20.6383,21.6672,359.4440,3.0839,306.1424,359.4766,3.0839,306.1424
2022-04-29 17:55:46.489358,37.2327,37.8545,37.8545,36.8875,918.2688,-0.0075,0.0537,-0.9400,306.3655,21.4851,20.7103,21.7667,359.6306,3.0863,307.0279,359.6621,3.0920,307.0279
2022-04-29 17:55:56.737499,37.0624,38.0182,38.0182,36.8729,918.2458,-0.0045,0.0537,-0.9245,307.2476,21.5226,20.4957,20.9036,359.7947,3.0758,307.8818,359.8209,3.0746,307.8818
2022-04-29 17:56:06.984024,36.5382,38.0182,38.0182,36.8771,918.2368,-0.0018,0.0537,-0.9096,308.0890,21.5242,20.3869,21.2398,359.9440,3.0748,308.6803,359.9680,3.0762,308.6803
2022-04-29 17:56:17.227708,37.3081,38.1091,38.1091,36.9083,918.3018,0.0005,0.0537,-0.8957,308.8699,21.6479,20.5573,21.4230,0.0696,3.0744,309.4143,0.0896,3.0693,309.4143
2022-04-29 17:56:27.474962,38.1829,38.1636,38.1636,36.9271,918.3262,0.0026,0.0535,-0.8829,309.5837,21.5274,20.6549,21.0769,0.1864,3.0688,310.0705,0.1986,3.0633,310.0705
2022-04-29 17:56:37.732034,37.1213,38.2182,38.2182,36.9667,918.3103,0.0044,0.0535,-0.8714,310.2241,21.4979,20.4753,20.4240,0.2801,3.0641,310.6892,0.2968,3.0626,310.6892
2022-04-29 17:56:47.975456,38.0420,38.1818,38.1818,36.9521,918.3147,0.0059,0.0534,-0.8606,310.8253,21.4111,20.7784,21.3302,0.3696,3.0591,311.2325,0.3805,3.0585,311.2324
2022-04-29 17:56:58.221196,36.7773,38.2909,38.2909,36.9854,918.3120,0.0073,0.0534,-0.8512,311.3706,21.8138,20.7805,20.9964,0.4426,3.0547,311.7713,0.4561,3.0546,311.7713
2022-04-29 17:57:08.468538,37.0132,38.1455,38.1455,36.9750,918.3513,0.0085,0.0533,-0.8417,311.8743,20.8521,20.9119,21.1436,0.5110,3.0546,312.1671,0.5196,3.0562,312.1671
2022-04-29 17:57:18.716135,37.6718,38.2000,38.2000,37.0021,918.3958,0.0097,0.0533,-0.8348,312.2717,21.2363,21.2736,20.8381,0.5758,3.0587,312.5478,0.5826,3.0577,312.5478
2022-04-29 17:57:28.964153,37.3376,38.1818,38.1818,37.0438,918.3425,0.0105,0.0532,-0.8282,312.6329,21.0494,21.3104,20.8472,0.6185,3.0443,312.8586,0.6286,3.0451,312.8586
